,country,subnational1,umd_tree_cover_density__threshold,umd_tree_cover_extent_2000__ha,whrc_aboveground_biomass_stock_2000__Mg,avg_whrc_aboveground_biomass_2000_Mg_ha-1,gfw_gross_emissions_co2e_all_gases__Mg_yr-1,gfw_gross_cumulative_aboveground_belowground_co2_removals__Mg_yr-1,gfw_net_flux_co2e__Mg_yr-1,gfw_gross_emissions_co2e_all_gases_2001__Mg,gfw_gross_emissions_co2e_all_gases_2002__Mg,gfw_gross_emissions_co2e_all_gases_2003__Mg,gfw_gross_emissions_co2e_all_gases_2004__Mg,gfw_gross_emissions_co2e_all_gases_2005__Mg,gfw_gross_emissions_co2e_all_gases_2006__Mg,gfw_gross_emissions_co2e_all_gases_2007__Mg,gfw_gross_emissions_co2e_all_gases_2008__Mg,gfw_gross_emissions_co2e_all_gases_2009__Mg,gfw_gross_emissions_co2e_all_gases_2010__Mg,gfw_gross_emissions_co2e_all_gases_2011__Mg,gfw_gross_emissions_co2e_all_gases_2012__Mg,gfw_gross_emissions_co2e_all_gases_2013__Mg,gfw_gross_emissions_co2e_all_gases_2014__Mg,gfw_gross_emissions_co2e_all_gases_2015__Mg,gfw_gross_emissions_co2e_all_gases_2016__Mg,gfw_gross_emissions_co2e_all_gases_2017__Mg,gfw_gross_emissions_co2e_all_gases_2018__Mg,gfw_gross_emissions_co2e_all_gases_2019__Mg,gfw_gross_emissions_co2e_all_gases_2020__Mg
29,Bolivia,La Paz,30,7152155,1535294816,215,7648051.0,15067083.0,-7419033.0,3193400.0,4599846.0,3860004.0,4065782.0,4663091.0,4993640.0,5393628.0,4541709.0,6843794.0,20196002.0,5112988.0,6945675.0,4327750.0,11487263.0,4788421.0,13948483.0,10924300.0,8002502.0,12119610.0,12953123.0
30,Bolivia,La Paz,50,6955928,1520864766,219,7581008.0,14200721.0,-6619713.0,3185112.0,4588011.0,3842892.0,4054340.0,4637912.0,4976178.0,5381024.0,4508833.0,6804165.0,20086672.0,5097472.0,6895929.0,4272597.0,11377623.0,4736806.0,13751097.0,10805764.0,7881579.0,11978396.0,12757752.0
31,Bolivia,La Paz,75,6614758,1481462895,224,7331740.0,12849390.0,-5517650.0,3152269.0,4539240.0,3787949.0,4004521.0,4551391.0,4908425.0,5332659.0,4406295.0,6706242.0,19751021.0,5033732.0,6752136.0,4145171.0,10987480.0,4563930.0,12555211.0,10351585.0,7495216.0,11428470.0,12181849.0
32,Bolivia,Oruro,0,5167489,995701,0,,,,,,,,,,,,,,,,,,,,,,,
33,Bolivia,Oruro,10,257,24212,94,,,,,,,,,,,,,,,,,,,,,,,
34,Bolivia,Oruro,15,255,24062,94,,,,,,,,,,,,,,,,,,,,,,,
35,Bolivia,Oruro,20,250,23704,95,,,,,,,,,,,,,,,,,,,,,,,
36,Bolivia,Oruro,25,245,23302,95,,,,,,,,,,,,,,,,,,,,,,,
37,Bolivia,Oruro,30,242,23126,95,40.0,956.0,-917.0,69.0,160.0,0.0,213.0,0.0,50.0,18.0,0.0,70.0,99.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Bolivia,Oruro,50,97,11535,119,32.0,388.0,-356.0,69.0,160.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,99.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Bolivia,Oruro,75,24,3757,156,25.0,105.0,-81.0,43.0,139.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,54.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Bolivia,Pando,0,6344857,1799473236,284,,,,,,,,,,,,,,,,,,,,,,,
41,Bolivia,Pando,10,6211574,1799020487,290,,,,,,,,,,,,,,,,,,,,,,,
42,Bolivia,Pando,15,6209462,1798895938,290,,,,,,,,,,,,,,,,,,,,,,,
43,Bolivia,Pando,20,6206867,1798749585,290,,,,,,,,,,,,,,,,,,,,,,,
44,Bolivia,Pando,25,6204835,1798639063,290,,,,,,,,,,,,,,,,,,,,,,,
45,Bolivia,Pando,30,6202288,1798484421,290,7676703.0,14174926.0,-6498224.0,6026749.0,5449253.0,5106707.0,7131040.0,21738563.0,9775728.0,6517784.0,10673919.0,7637499.0,7260040.0,10641220.0,5881304.0,4657029.0,7549625.0,3765323.0,7295488.0,7467161.0,5931996.0,5486264.0,7541363.0
46,Bolivia,Pando,50,6185244,1797510517,291,7658101.0,14086775.0,-6428675.0,6011456.0,5440697.0,5098721.0,7121910.0,21692588.0,9768478.0,6512054.0,10659647.0,7630311.0,7248892.0,10625632.0,5868413.0,4651091.0,7532252.0,3753517.0,7218821.0,7433523.0,5907689.0,5462995.0,7523329.0
