,country,subnational1,subnational2,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020
37,Bolivia,Chuquisaca,Luis Calvo,30,1277044,1131236,1054613,1500,809,480,929,516,891,435,849,1505,661,745,1714,599,955,546,383,801,2428,1111,3931,3704
38,Bolivia,Chuquisaca,Luis Calvo,50,1277044,668154,691597,1500,743,432,909,442,855,362,814,1274,618,691,1651,503,780,404,244,638,1542,1001,2709,2799
39,Bolivia,Chuquisaca,Luis Calvo,75,1277044,360625,462368,1500,659,373,850,325,767,263,755,950,526,508,1488,357,346,150,130,414,1047,718,1222,1366
40,Bolivia,Chuquisaca,Nor Cinti,0,777723,777723,777723,11,63,36,28,20,28,6,8,33,26,3,110,47,130,70,27,135,157,108,149,116
41,Bolivia,Chuquisaca,Nor Cinti,10,777723,74761,82529,11,49,33,27,20,26,5,7,31,25,3,88,46,128,67,26,128,146,101,146,113
42,Bolivia,Chuquisaca,Nor Cinti,15,777723,69386,79990,11,48,33,27,20,26,5,7,31,24,3,84,45,127,67,26,127,145,100,145,113
43,Bolivia,Chuquisaca,Nor Cinti,20,777723,65225,78230,11,46,33,27,20,26,5,7,31,24,3,83,45,127,66,25,126,144,98,144,113
44,Bolivia,Chuquisaca,Nor Cinti,25,777723,61820,74862,11,46,33,27,20,26,5,7,31,24,3,82,45,126,66,25,125,142,98,144,112
45,Bolivia,Chuquisaca,Nor Cinti,30,777723,59020,70434,11,45,33,26,20,26,5,7,31,23,3,81,45,126,65,25,124,142,97,143,112
46,Bolivia,Chuquisaca,Nor Cinti,50,777723,41997,44653,11,42,31,25,19,24,4,6,29,19,2,68,44,118,60,21,115,128,82,129,102
47,Bolivia,Chuquisaca,Nor Cinti,75,777723,23399,22250,11,35,28,22,17,20,3,5,23,17,2,47,35,72,36,10,62,77,44,61,63
48,Bolivia,Chuquisaca,Oropeza,0,362966,362966,362966,23,8,3,7,92,13,2,12,8,10,13,9,17,1,2,3,6,10,5,3,2
49,Bolivia,Chuquisaca,Oropeza,10,362966,57331,44268,23,8,3,7,91,13,2,11,7,10,13,8,17,1,1,2,3,4,2,1,1
50,Bolivia,Chuquisaca,Oropeza,15,362966,51312,42627,23,8,3,7,90,13,2,11,7,10,12,8,17,1,1,2,2,3,2,1,1
51,Bolivia,Chuquisaca,Oropeza,20,362966,46493,41776,23,7,3,7,90,13,2,11,7,10,12,8,16,0,1,2,2,3,2,1,1
52,Bolivia,Chuquisaca,Oropeza,25,362966,41596,39164,23,7,2,7,90,12,2,11,7,10,12,8,16,0,0,2,2,3,2,1,1
53,Bolivia,Chuquisaca,Oropeza,30,362966,38111,35009,23,7,2,7,89,12,2,11,6,9,12,8,16,0,0,2,2,3,2,1,1
54,Bolivia,Chuquisaca,Oropeza,50,362966,23298,16786,23,7,2,4,59,9,1,5,4,7,8,8,13,0,0,1,2,3,1,0,0
55,Bolivia,Chuquisaca,Oropeza,75,362966,11578,3562,23,6,1,1,11,3,0,2,2,3,2,6,7,0,0,0,1,1,0,0,0
56,Bolivia,Chuquisaca,Sud Cinti,0,558825,558825,558825,88,231,340,312,226,441,113,77,406,247,381,858,347,549,322,252,476,680,300,641,928
57,Bolivia,Chuquisaca,Sud Cinti,10,558825,209440,212385,88,225,339,310,226,439,112,76,402,242,380,856,344,547,320,247,447,665,296,621,895
58,Bolivia,Chuquisaca,Sud Cinti,15,558825,205687,209164,88,225,339,310,226,439,112,76,402,241,380,856,344,547,320,246,445,663,295,619,893
59,Bolivia,Chuquisaca,Sud Cinti,20,558825,202260,207520,88,224,339,309,226,438,112,76,402,241,379,856,344,546,320,245,442,662,294,617,891
60,Bolivia,Chuquisaca,Sud Cinti,25,558825,199904,204641,88,224,339,309,226,438,112,76,401,240,379,856,343,545,320,244,441,661,293,615,889
61,Bolivia,Chuquisaca,Sud Cinti,30,558825,197567,200157,88,224,339,309,226,437,112,76,401,240,379,856,343,544,320,243,439,659,292,613,887
62,Bolivia,Chuquisaca,Sud Cinti,50,558825,180246,172789,88,220,336,307,224,433,112,75,398,233,375,851,338,536,315,231,417,634,279,588,856
63,Bolivia,Chuquisaca,Sud Cinti,75,558825,144806,127796,88,213,325,297,218,415,109,72,385,215,366,829,314,467,275,182,326,526,225,485,721
64,Bolivia,Chuquisaca,Tomina,0,421211,421211,421211,256,548,162,207,175,201,73,53,242,329,33,875,99,295,220,100,419,614,242,521,855
65,Bolivia,Chuquisaca,Tomina,10,421211,200261,208704,256,531,159,204,174,199,71,51,233,324,33,857,97,285,205,90,364,515,209,466,781
66,Bolivia,Chuquisaca,Tomina,15,421211,192744,203078,256,529,159,204,174,199,71,51,232,324,33,855,97,283,203,89,358,504,204,457,772
67,Bolivia,Chuquisaca,Tomina,20,421211,188250,200535,256,526,158,203,174,199,71,51,232,323,33,852,96,282,202,88,352,498,201,452,765
68,Bolivia,Chuquisaca,Tomina,25,421211,184585,195820,256,526,157,202,173,199,71,51,231,322,33,851,96,281,202,87,349,493,199,448,762
69,Bolivia,Chuquisaca,Tomina,30,421211,179739,188846,256,523,157,202,173,199,71,51,230,321,33,849,96,280,200,87,345,484,195,442,755
70,Bolivia,Chuquisaca,Tomina,50,421211,151895,145100,256,497,149,193,170,193,69,49,219,309,31,818,91,265,186,80,308,426,174,390,699
71,Bolivia,Chuquisaca,Tomina,75,421211,113362,102774,256,452,132,176,159,180,62,43,199,284,29,755,79,215,145,62,221,290,118,278,534
72,Bolivia,Chuquisaca,Yamparáez,0,168135,168135,168135,6,8,2,0,0,0,3,0,0,5,0,0,0,0,0,0,0,1,0,0,0
73,Bolivia,Chuquisaca,Yamparáez,10,168135,5514,3232,6,6,2,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
74,Bolivia,Chuquisaca,Yamparáez,15,168135,4557,2795,6,6,2,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
75,Bolivia,Chuquisaca,Yamparáez,20,168135,3928,2757,6,6,2,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
76,Bolivia,Chuquisaca,Yamparáez,25,168135,3287,2400,6,6,1,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
77,Bolivia,Chuquisaca,Yamparáez,30,168135,2822,1543,6,6,1,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
