,country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020
36,Bolivia,Oruro,25,5167489,245,64,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Bolivia,Oruro,30,5167489,242,45,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Bolivia,Oruro,50,5167489,97,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Bolivia,Oruro,75,5167489,24,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Bolivia,Pando,0,6344857,6344857,6344857,6499,9130,7787,7338,9940,32917,13821,9036,15725,11556,10919,17310,8641,6721,11978,5558,11165,11150,8535,8140,10711
41,Bolivia,Pando,10,6344857,6211574,6164198,6499,9109,7779,7331,9932,32876,13813,9029,15710,11551,10906,17295,8618,6646,11854,5483,10895,10984,8327,7991,10605
42,Bolivia,Pando,15,6344857,6209462,6160744,6499,9106,7778,7329,9931,32868,13812,9029,15709,11550,10905,17293,8617,6644,11849,5479,10877,10974,8317,7984,10599
43,Bolivia,Pando,20,6344857,6206867,6158551,6499,9101,7776,7327,9929,32857,13811,9027,15706,11549,10903,17291,8616,6642,11844,5473,10852,10964,8307,7977,10593
44,Bolivia,Pando,25,6344857,6204835,6153688,6499,9098,7774,7326,9928,32850,13810,9026,15705,11549,10902,17289,8615,6640,11840,5470,10838,10956,8301,7970,10588
45,Bolivia,Pando,30,6344857,6202288,6147604,6499,9093,7773,7324,9926,32842,13810,9025,15702,11548,10901,17287,8613,6636,11834,5465,10805,10944,8289,7963,10582
